subid,lesion_index,shape_VoxelVolume,shape_MeshVolume,shape_SurfaceArea,shape_SurfaceVolumeRatio,shape_Compactness1,shape_Compactness2,shape_Sphericity,shape_SphericalDisproportion,shape_Maximum3DDiameter,shape_Maximum2DDiameterSlice,shape_Maximum2DDiameterColumn,shape_Maximum2DDiameterRow,shape_MajorAxisLength,shape_MinorAxisLength,shape_LeastAxisLength,shape_Elongation,shape_Flatness,glcm_Autocorrelation,glcm_JointAverage,glcm_ClusterProminence,glcm_ClusterShade,glcm_ClusterTendency,glcm_Contrast,glcm_Correlation,glcm_DifferenceAverage,glcm_DifferenceEntropy,glcm_DifferenceVariance,glcm_JointEnergy,glcm_JointEntropy,glcm_Imc1,glcm_Imc2,glcm_Idm,glcm_Idmn,glcm_Id,glcm_Idn,glcm_InverseVariance,glcm_MaximumProbability,glcm_SumEntropy,glcm_SumSquares,glrlm_GrayLevelNonUniformity,glrlm_GrayLevelNonUniformityNormalized,glrlm_GrayLevelVariance,glrlm_HighGrayLevelRunEmphasis,glrlm_LongRunEmphasis,glrlm_LongRunHighGrayLevelEmphasis,glrlm_LongRunLowGrayLevelEmphasis,glrlm_LowGrayLevelRunEmphasis,glrlm_RunEntropy,glrlm_RunLengthNonUniformity,glrlm_RunLengthNonUniformityNormalized,glrlm_RunPercentage,glrlm_RunVariance,glrlm_ShortRunEmphasis,glrlm_ShortRunHighGrayLevelEmphasis,glrlm_ShortRunLowGrayLevelEmphasis,glszm_GrayLevelNonUniformity,glszm_GrayLevelNonUniformityNormalized,glszm_GrayLevelVariance,glszm_HighGrayLevelZoneEmphasis,glszm_LargeAreaEmphasis,glszm_LargeAreaHighGrayLevelEmphasis,glszm_LargeAreaLowGrayLevelEmphasis,glszm_LowGrayLevelZoneEmphasis,glszm_SizeZoneNonUniformity,glszm_SizeZoneNonUniformityNormalized,glszm_SmallAreaEmphasis,glszm_SmallAreaHighGrayLevelEmphasis,glszm_SmallAreaLowGrayLevelEmphasis,glszm_ZoneEntropy,glszm_ZonePercentage,glszm_ZoneVariance,gldm_DependenceEntropy,gldm_DependenceNonUniformity,gldm_DependenceNonUniformityNormalized,gldm_DependenceVariance,gldm_GrayLevelNonUniformity,gldm_GrayLevelVariance,gldm_HighGrayLevelEmphasis,gldm_LargeDependenceEmphasis,gldm_LargeDependenceHighGrayLevelEmphasis,gldm_LargeDependenceLowGrayLevelEmphasis,gldm_LowGrayLevelEmphasis,gldm_SmallDependenceEmphasis,gldm_SmallDependenceHighGrayLevelEmphasis,gldm_SmallDependenceLowGrayLevelEmphasis
1293,1,1286.1407036131823,118.42102981962758,2928.499565116305,24.7295566469641,0.00042158597177425003,6.315017361100542e-05,0.03982216336058451,25.11164426063773,112.43339159707756,104.8487859131608,61.68295097946027,100.45974467800427,106.81796396012994,55.565724792323934,38.493802808487715,0.5201908249539747,0.36036825063297045,8.51236049446239,1.4265879167732636,61015.41981540159,1370.3328916885632,34.32065467523665,10.102562221746465,0.7999130209515085,0.2982437784702053,0.06312802163425811,9.778183891886842,0.9593378551991628,0.14069203418335172,-0.22912995196598435,0.164357153918903,0.990091214222436,0.9974143818559558,0.990426018091961,0.9963716321962751,1.4054955436195986e-05,0.9785160978265744,0.13076921649068304,11.105804224245784,2343.2049391992546,0.9452507752186083,21.49603794787907,24.574964495753765,1.040505826578164,24.90624535086217,1.011998525036431,0.9719579385039154,0.3001996656102203,2414.7531208642426,0.9740876792727478,0.9868324350808428,0.013599579725186146,0.9901151796496565,24.492385918270863,0.9621894281649838,1991.5590179414542,0.9403017081876555,23.87983389821138,27.23229461756374,1.664778092540132,32.316336166194525,1.6270625118035884,0.9693552407932011,1574.7601510859301,0.7435128192095988,0.8860185185185185,26.013497272059592,0.857141464694156,0.9495200384775964,0.8431528662420382,0.25812385586559206,1.2830383361409519,1438.7133757961783,0.5727362164793703,0.37562629315590895,2375.5063694267515,21.30294332427279,24.35987261146497,2.1775477707006368,32.98964968152866,2.13779872611465,0.9721745222929937,0.7825003317409766,22.27931561836518,0.7576557457537155
1074,3,131.07249414063963,29.056109540941694,308.95031235638726,10.632886413133145,0.0030187668333397817,0.0032378847462409405,0.14794051581775094,6.759473525372235,54.193850960317924,54.09929280132945,41.7920201205028,37.73592509053551,48.09850484282986,41.173401334621246,10.1166693593494,0.8560224786438252,0.2103323043493214,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,-3.2034265038149176e-16,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-3.2034265038149176e-16,0.0,247.02390721785156,0.9841571253769482,9.059550076014672,10.634608794188265,1.063258885982412,10.697867680170676,1.0553001040065102,0.9920412180240985,0.2098669571148567,241.81999213337446,0.9632441132057477,0.98046875,0.022649755212206947,0.9857627485736783,10.620371542761943,0.9778039665977769,192.03061224489795,0.9797480216576426,11.577051228654728,13.33673469387755,2.193877551020408,14.53061224489796,2.183686646146062,0.9898090951256536,128.1122448979592,0.653633902540608,0.8356632653061224,13.172397959183673,0.8254723604317761,1.0951900229332467,0.765625,0.48792169929196166,1.4080814060838664,117.96875,0.4608154296875,0.49993896484375,252.0234375,8.8828125,10.4453125,2.7734375,12.21875,2.7656350884555785,0.9921975884555786,0.6914605034722222,10.136773003472221,0.6836580919278008
1080,3,131.07249414063963,29.056109540941694,308.95031235638726,10.632886413133145,0.0030187668333397817,0.0032378847462409405,0.14794051581775094,6.759473525372235,54.193850960317924,54.09929280132945,41.7920201205028,37.73592509053551,48.09850484282986,41.173401334621246,10.1166693593494,0.8560224786438252,0.2103323043493214,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,-3.2034265038149176e-16,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-3.2034265038149176e-16,0.0,247.02390721785156,0.9841571253769482,9.059550076014672,10.634608794188265,1.063258885982412,10.697867680170676,1.0553001040065102,0.9920412180240985,0.2098669571148567,241.81999213337446,0.9632441132057477,0.98046875,0.022649755212206947,0.9857627485736783,10.620371542761943,0.9778039665977769,192.03061224489795,0.9797480216576426,11.577051228654728,13.33673469387755,2.193877551020408,14.53061224489796,2.183686646146062,0.9898090951256536,128.1122448979592,0.653633902540608,0.8356632653061224,13.172397959183673,0.8254723604317761,1.0951900229332467,0.765625,0.48792169929196166,1.4080814060838664,117.96875,0.4608154296875,0.49993896484375,252.0234375,8.8828125,10.4453125,2.7734375,12.21875,2.7656350884555785,0.9921975884555786,0.6914605034722222,10.136773003472221,0.6836580919278008
2131,1,243.71137536619216,51.49853467559208,547.4638496339675,10.630668485669359,0.0022682283024467813,0.001827998253618392,0.12227150528242896,8.178520397619618,61.74522186534748,60.65766039845224,45.290068756218474,48.066621150807826,54.27156017166146,47.062350826469434,19.65974395045006,0.8671641404376577,0.3622476281917472,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,-3.2034265038149176e-16,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-3.2034265038149176e-16,0.0,458.5933268529952,0.9747727075515702,4.383273423497198,5.884672960764353,1.0353842419371175,5.9200572027014715,1.0226741184352102,0.9872898764980929,0.1977816031253949,459.53629174907087,0.9767341887951909,0.9883645765998708,0.01163290560240455,0.9911539395157207,5.875826900280073,0.9784438160138133,397.1515892420538,0.9710307805429188,5.033076081563358,6.618581907090465,1.5941320293398533,7.212713936430318,1.5795122440403424,0.985380214700489,313.3765281173594,0.7662017802380425,0.8978198859005705,6.516401792991036,0.8832001006010595,0.7851619794584586,0.8592436974789915,0.23966858160819218,1.104761886140404,287.453781512605,0.6038944989760611,0.32864910670150416,464.1302521008403,4.332762516771414,5.8277310924369745,2.0252100840336134,6.852941176470588,2.0126481256565127,0.9874380416228992,0.8035860177404295,5.631317110177404,0.7910240593633286
1011,7,73.21159561939834,14.420465803823825,164.08878634526565,11.37888252553914,0.0038706686805515303,0.005323217888468465,0.17460556485240109,5.727194324220581,53.23891976129507,50.373183106284394,37.221461492219575,40.35839218260342,48.604610571741375,40.57981620995982,12.734822326290013,0.8348964374493486,0.26200852504502964,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,-3.2034265038149176e-16,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-3.2034265038149176e-16,0.0,136.1754668895952,0.9584606119209228,13.933305626962246,16.225019057842186,1.0207628751230788,16.245781932965265,0.9996902147460724,0.9789273396229935,0.21463611984151532,140.4065003221731,0.9881452489842386,0.9935449166218397,0.007552179275541656,0.9954197818297307,16.22043883967192,0.9743471214527244,125.10687022900764,0.9550142765573102,15.086416875473454,17.51145038167939,1.3053435114503817,17.81679389312977,1.2824903258548137,0.9771468144044322,112.2824427480916,0.8571178835732184,0.9406276505513147,17.452078032230702,0.9177744649557469,0.6200498731046451,0.916083916083916,0.11374628518151622,0.8480500659920626,105.20979020979021,0.7357327986698616,0.16763655924495086,137.0979020979021,13.844295564575283,16.125874125874127,1.5314685314685315,16.657342657342657,1.510533095713151,0.9790645642446196,0.8826728826728827,16.00854700854701,0.8617374469175023
1529,5,168.95956695555338,17.877287513727712,381.72883760914505,21.352726878505532,0.0013523659691263177,0.0006498164683177162,0.08661575682712422,11.54524345952311,55.845441477233344,55.014119378942276,41.8759003091188,43.67150165541585,49.46370462558001,46.002801808246986,12.98890744641722,0.9300314676482354,0.26259471555432273,7.729166666666667,1.3541666666666667,9135.109375,307.0625,18.0625,0.0,1.0,0.0,-3.203426503814917e-16,0.0,0.96875,0.06760651037159404,-0.08333333333333331,0.07465692520284194,1.0,1.0,1.0,1.0,0.0,0.9791666666666666,0.06760651037159404,4.515625,312.0277111623561,0.9582658413460812,8.636888529537178,10.635663440901842,1.0407210153009012,10.905030043744034,1.018809889273008,0.9787945702299502,0.25787661771998205,317.03554644312135,0.9734429975753194,0.9867132867132866,0.013278501212340312,0.9898197461747746,10.568321790191293,0.9687907404691856,263.22545454545457,0.9571834710743802,9.270928925619835,11.323636363636364,1.6872727272727273,15.534545454545455,1.6546382097620194,0.9782409033647129,198.54181818181817,0.7219702479338843,0.8747727272727273,10.3175,0.8557324858562954,0.9383613485660481,0.8333333333333334,0.24727272727272728,1.231187563811082,184.1090909090909,0.5579063360881543,0.3230853994490358,316.26060606060605,8.587731864095499,10.581818181818182,2.1333333333333333,17.587878787878786,2.09405410110172,0.9788464692274217,0.7689604377104378,8.882596801346802,0.752338332302618
2041,1,454.6585947876747,83.88314539718704,1026.5473584997428,12.237826247919495,0.0014389022309231586,0.0007356391230950625,0.09027238970878033,11.077584222883768,71.0787712514532,69.76554821044677,58.31801371725517,51.53018609646093,59.86753551955688,54.4430124315203,31.313543048126295,0.9093912411633421,0.5230471369227672,12.253846153846155,1.4697802197802199,53256.80416693365,1189.6727068849518,36.52503924646782,2.776923076923077,0.9866220735785952,0.14615384615384616,0.03607658412225205,2.4992307692307696,0.9632574568288853,0.10716618627140252,-0.14186253446350533,0.1234167227707924,0.9923289417764557,0.9985244829559389,0.9926923076923077,0.9974801061007957,2.1308331557639037e-05,0.9791208791208792,0.09947387857909486,9.825490580847724,844.3033885771983,0.9622953572381754,8.016358214470088,9.938708389676247,1.0366981571146088,10.185509620746133,1.017018234047792,0.9808453346180717,0.23577960715167143,856.7384839396849,0.9764355224013126,0.9880457380457379,0.01230250565679942,0.9910202674341275,9.877202888621555,0.971996916473421,732.5538057742782,0.9613567004911787,8.368397847906806,10.325459317585302,1.6456692913385826,14.11286089238845,1.6181767158296534,0.9803617551997321,596.2782152230972,0.7825173428124634,0.9052334752798757,9.445259721999037,0.8875588131567733,0.8056841086315858,0.8581081081081081,0.28761857523715045,1.169157586836649,540.5653153153153,0.6087447244541839,0.37411736060384715,854.6148648648649,7.98230155831507,9.9009009009009,2.0923423423423424,16.385135135135137,2.0597642538988694,0.9809016412862567,0.8081284409409409,8.36105636886887,0.7924000146596301
1348,1,454.6585947876747,83.88314539718704,1026.5473584997428,12.237826247919495,0.0014389022309231586,0.0007356391230950625,0.09027238970878033,11.077584222883768,71.0787712514532,69.76554821044677,58.31801371725517,51.53018609646093,59.86753551955688,54.4430124315203,31.313543048126295,0.9093912411633421,0.5230471369227672,12.253846153846155,1.4697802197802199,53256.80416693365,1189.6727068849518,36.52503924646782,2.776923076923077,0.9866220735785952,0.14615384615384616,0.03607658412225205,2.4992307692307696,0.9632574568288853,0.10716618627140252,-0.14186253446350533,0.1234167227707924,0.9923289417764557,0.9985244829559389,0.9926923076923077,0.9974801061007957,2.1308331557639037e-05,0.9791208791208792,0.09947387857909486,9.825490580847724,844.3033885771983,0.9622953572381754,8.016358214470088,9.938708389676247,1.0366981571146088,10.185509620746133,1.017018234047792,0.9808453346180717,0.23577960715167143,856.7384839396849,0.9764355224013126,0.9880457380457379,0.01230250565679942,0.9910202674341275,9.877202888621555,0.971996916473421,732.5538057742782,0.9613567004911787,8.368397847906806,10.325459317585302,1.6456692913385826,14.11286089238845,1.6181767158296534,0.9803617551997321,596.2782152230972,0.7825173428124634,0.9052334752798757,9.445259721999037,0.8875588131567733,0.8056841086315858,0.8581081081081081,0.28761857523715045,1.169157586836649,540.5653153153153,0.6087447244541839,0.37411736060384715,854.6148648648649,7.98230155831507,9.9009009009009,2.0923423423423424,16.385135135135137,2.0597642538988694,0.9809016412862567,0.8081284409409409,8.36105636886887,0.7924000146596301
1529,11,121.85568768309608,24.661270126341464,284.26346378513426,11.526716277338194,0.0029030795627177017,0.002994471079018386,0.14413630161288157,6.9378774729892845,49.45779018512636,48.351966830233216,38.40823288755435,36.80000054836273,43.61575206687344,39.89542225586436,11.488673758561305,0.9147021515230341,0.2634065266362117,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,1.0,-3.2034265038149176e-16,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,-3.2034265038149176e-16,0.0,230.93166389992473,0.9914498931815431,4.1083263262685445,5.392238657641836,1.0668713025032848,5.459109960145121,1.0625820069391818,0.9957107044358966,0.1880460040770597,223.30794667485924,0.9586170276874598,0.9786683904330963,0.022638331883623866,0.9840158231764972,5.376254480818334,0.9797265276123936,178.01111111111112,0.9889506172839506,5.309228395061729,6.683333333333334,2.4,8.083333333333334,2.3944498697916665,0.9944498697916667,117.67777777777778,0.6537654320987655,0.8356296296296296,6.518962962962964,0.8300794994212962,1.0411474957978033,0.7563025210084033,0.6517283950617284,1.4729479583726532,107.1344537815126,0.4501447637878681,0.6671845208671704,236.00840336134453,4.0208495162770985,5.298319327731092,3.0840336134453783,7.382352941176471,3.0798360359768906,0.9958024225315126,0.6831605975723624,4.981479925303454,0.6789630201038749
1038,2,1314.3089549180545,231.1262046743991,2938.2203510936456,12.712623197498903,0.0008187432032270983,0.00023817581589933838,0.06198680051123033,16.132466779259353,115.09728843679144,106.19238383738461,73.22095124992958,101.3729762129088,99.40661466685543,67.5245649608716,54.328085991711504,0.6792763759953886,0.5465238522987927,23.862637362637358,1.6016483516483517,321833.3552626309,4808.17531957838,79.59772370486657,0.0,1.0,0.0,-3.2034265038149176e-16,0.0,0.969291001657073,0.08497867969917547,-0.23076923076922787,0.16483771345407086,1.0,1.0,1.0,1.0,0.0,0.9832875457875457,0.08497867969917547,19.899430926216642,2474.2283505081728,0.9723974615489562,17.886444916276307,20.14830872709783,1.026734012716806,20.795802307405374,1.0122934953357332,0.986012922770564,0.17810984644745453,2500.1464723741724,0.9825588012608617,0.9912199214887178,0.008900430471531367,0.9933839709753209,19.986502806175466,0.9795102537837941,2221.8962800875274,0.9723834923796618,17.895496937979118,20.157986870897155,1.4446389496717724,28.984245076586433,1.424522363749994,0.9860058532718062,1868.197374179431,0.8175918486562062,0.9227045306817111,18.650494465036196,0.9097550858794068,0.6573011447230876,0.8901441371250487,0.18258090773716892,0.9507166957096722,1725.3957927541878,0.6721448355100069,0.24083627728948329,2496.0097389949356,17.920408699369556,20.18504090377873,1.749513050253214,40.119594857810675,1.721485233008833,0.9859860913778096,0.8471025407955677,17.01227589490542,0.8352945251972403
