run,num_images_per_batch,loss,rim/acc_mean,rim/acc_std,rim/acc_max,fold0-rim/acc_final,fold0-rim/acc_max,fold1-rim/acc_final,fold1-rim/acc_max,fold2-rim/acc_final,fold2-rim/acc_max,fold3-rim/acc_final,fold3-rim/acc_max,fold4-rim/acc_final,fold4-rim/acc_max,lesion/acc_mean,lesion/acc_std,lesion/acc_max,fold0-lesion/acc_final,fold0-lesion/acc_max,fold1-lesion/acc_final,fold1-lesion/acc_max,fold2-lesion/acc_final,fold2-lesion/acc_max,fold3-lesion/acc_final,fold3-lesion/acc_max,fold4-lesion/acc_final,fold4-lesion/acc_max,train/loss_mean,train/loss_std,train/loss_min,val/acc_mean,val/acc_std,val/acc_max
run1,1,bg-nowt,0.31952053512886996,0.13252773252441324,0.5818604826927185,0.33761799335479736,0.5024288296699524,0.5215962529182434,0.5818604826927185,0.20523440837860107,0.38737717270851135,0.41491463780403137,0.45226043462753296,0.21950982511043549,0.3581777513027191,0.6505226397370718,0.043239649697646154,0.7077386975288391,0.6684630513191223,0.6699422001838684,0.6976051926612854,0.7077386975288391,0.6746645569801331,0.6781730651855469,0.6934008002281189,0.6996569633483887,0.666472315788269,0.6705871820449829,0.6147495519161225,0.059000349780235564,0.5592988729476929,0.48502158687775393,0.08154165816898837,0.6378412246704102
run2,1,nobg-nowt,0.32556065847932636,0.12911898949064687,0.5873146653175354,0.31531789898872375,0.452921986579895,0.5344910621643066,0.5873146653175354,0.2049296796321869,0.36145174503326416,0.4169968068599701,0.4604973793029785,0.2602314054965973,0.36359888315200806,0.6466791890471815,0.04235860126030138,0.707509458065033,0.6582067012786865,0.6668912172317505,0.7031261920928955,0.707509458065033,0.6552691459655762,0.6700760126113892,0.683512270450592,0.6940487623214722,0.6643379330635071,0.6713545918464661,0.9117072275161743,0.08160416633902864,0.8349388241767883,0.48611992401291565,0.08058270822207135,0.6395273208618164
run3,1,bg-wt115,0.4160412657489798,0.10408107015577771,0.6273317337036133,0.36121705174446106,0.5750573873519897,0.5812492370605469,0.6273317337036133,0.31707948446273804,0.49802321195602417,0.4041496217250824,0.5031836628913879,0.30417490005493164,0.4075608253479004,0.6372039334841043,0.04275790620290186,0.6985787153244019,0.6622327566146851,0.6680113673210144,0.6940292119979858,0.6985787153244019,0.6463043093681335,0.6571117043495178,0.6740609407424927,0.682509183883667,0.6483790278434753,0.6556945443153381,2.5615405542373657,0.07064623902749409,2.493894100189209,0.5266225996505783,0.06515922839500979,0.6581658124923706
run4,1,nobg-wt115,0.4222684074219421,0.10546705584642758,0.6393022537231445,0.37084048986434937,0.5719603896141052,0.6075260639190674,0.6393022537231445,0.341481477022171,0.5002886652946472,0.4089668095111847,0.4889180362224579,0.2968539595603943,0.38783329725265503,0.6372516541356542,0.04508675672208579,0.7083480358123779,0.648206889629364,0.6551210880279541,0.7034767270088196,0.7083480358123779,0.6515364050865173,0.6653161644935608,0.6759258508682251,0.6827004551887512,0.6511387825012207,0.6582549214363098,3.827803852844238,0.09801181906515348,3.73221492767334,0.5297600305702792,0.06707627373062777,0.667465090751648
run5,2,bg-nowt,0.31458579891087324,0.12969777248102668,0.582305908203125,0.34918007254600525,0.5040320754051208,0.4820545017719269,0.582305908203125,0.19279871881008148,0.3966490924358368,0.4009592831134796,0.4272784888744354,0.20231488347053528,0.35556066036224365,0.6492156054839552,0.043371622787964824,0.7097511887550354,0.6656131148338318,0.6741617321968079,0.7041743397712708,0.7097511887550354,0.6713842749595642,0.6765477657318115,0.6855760812759399,0.6894044280052185,0.6588550209999084,0.6713992953300476,0.6154363993167877,0.05855342552859887,0.561667799949646,0.4819007014175017,0.08068873295034451,0.6369084119796753
run6,2,nobg-nowt,0.3286615620195528,0.12930321192406255,0.5916664004325867,0.3656323552131653,0.5035238265991211,0.5332208871841431,0.5916664004325867,0.2113972157239914,0.38645821809768677,0.41260474920272827,0.42784467339515686,0.23981623351573944,0.3353229761123657,0.6481514863939171,0.044068192757911705,0.7094220519065857,0.6586540937423706,0.6740150451660156,0.7079415917396545,0.7094220519065857,0.674072265625,0.6849210262298584,0.6814126968383789,0.695707380771637,0.6561739444732666,0.6715089082717896,0.9115670000076294,0.08216778583893435,0.8339060544967651,0.488406524840129,0.08089497851491795,0.6470695734024048
run7,2,bg-wt115,0.4205709012563763,0.10763009324609647,0.6322248578071594,0.4424625039100647,0.5317457318305969,0.5864995718002319,0.6322248578071594,0.3018510341644287,0.4993140697479248,0.42640823125839233,0.49365535378456116,0.3203277587890625,0.3926285207271576,0.6412083952302435,0.04493905205679971,0.7004100680351257,0.6485151648521423,0.6630426049232483,0.693840503692627,0.7004100680351257,0.6699200868606567,0.674613356590271,0.6842982172966003,0.6863819360733032,0.6632914543151855,0.665976881980896,2.5619387102127074,0.07058716897321207,2.493629217147827,0.5308896487376776,0.06704885213308846,0.6580864191055298
run8,2,nobg-wt115,0.42697931706108694,0.09813329118455386,0.6293553113937378,0.3927344083786011,0.5484582185745239,0.5867972373962402,0.6293553113937378,0.30384013056755066,0.48661693930625916,0.42480701208114624,0.5028228759765625,0.3549874424934387,0.4039938151836395,0.6395024604347336,0.045171527701589186,0.7025051712989807,0.6565530896186829,0.6717690229415894,0.6972246766090393,0.7025051712989807,0.6608891487121582,0.6740373373031616,0.6739169955253601,0.6795998811721802,0.6550402641296387,0.6606400012969971,3.8284890829086304,0.09763299058916187,3.7311296463012695,0.5332408878937304,0.06318238397576677,0.6605310440063477
run9,4,bg-nowt,0.31229237613046584,0.12505117996661202,0.5880377888679504,0.3383916914463043,0.45081090927124023,0.4886709451675415,0.5880377888679504,0.2193634808063507,0.4209221303462982,0.3830511271953583,0.44586992263793945,0.24356220662593842,0.3234138786792755,0.6475287618167908,0.04376339102067496,0.7123141884803772,0.6613810658454895,0.6697952151298523,0.7097705006599426,0.7123141884803772,0.67042076587677,0.6801682114601135,0.6891719698905945,0.6922951340675354,0.640801191329956,0.6564592123031616,0.6151129235744476,0.05871619938193392,0.5596678256988525,0.47991056882712735,0.07956856801267718,0.6376267671585083
run10,4,nobg-nowt,0.3171510790460219,0.12575209322857908,0.580699622631073,0.33930614590644836,0.4722084403038025,0.5090551376342773,0.580699622631073,0.21396905183792114,0.4203096628189087,0.40625518560409546,0.4515010416507721,0.22505800426006317,0.3243809938430786,0.6464845596786484,0.04284428078808472,0.7127658128738403,0.6602631211280823,0.6717502474784851,0.7056136727333069,0.7127658128738403,0.6608012318611145,0.668657124042511,0.6912501454353333,0.6942126750946045,0.6530753970146179,0.6607893705368042,0.9116034670352936,0.08182788474112722,0.8353056907653809,0.4818178191362136,0.07992634527171563,0.6423707008361816
