split,volume_mm3,shape_x,shape_y,shape_z,sizemm_x,sizemm_y,sizemm_z,flair_mean,flair_std,flair_median,flair_min,flair_max,phase_mean,phase_std,phase_median,phase_min,phase_max,n_labels,lesion_fg_pct,rim_fg_pct
fold0,12379.101252763692,45.38364779874214,46.38364779874214,9.654088050314465,36.30652220551861,37.1069191574401,7.723270656595794,711.380454873139,231.59495592417207,718.4225909155119,32.82105163733164,1608.1238718092816,-2.858773042477152,175.49299707952537,4.371069182389937,-1519.8364779874214,1319.7610062893082,2.050314465408805,0.01616890707666255,0.004537804488791153
fold1,13125.564418254484,45.698113207547166,46.893081761006286,9.9937106918239,36.5581409851483,37.51446633916942,7.994968754857589,666.8006776053951,231.63216702443248,672.7907208136793,32.2637939453125,1570.3215184241722,-2.54825204123491,185.3097306257524,2.49685534591195,-1544.0880503144654,1353.6100628930817,2.050314465408805,0.01949613005890798,0.007331109023652971
fold2,11383.028047234277,45.18867924528302,45.9622641509434,9.421383647798741,36.15055846622926,36.76981208291058,7.537107094552313,657.7804004981083,214.58189584024296,663.4536058917736,39.90272040337137,1516.9185437856231,-4.314031504047741,172.04048667763763,1.5974842767295598,-1524.6729559748428,1307.572327044025,2.050314465408805,0.013772594932612814,0.008996941221994348
fold3,11844.034853865214,45.75949367088607,46.765822784810126,9.632911392405063,36.60716334148288,37.41265898611356,7.706329321232149,689.3917181280594,219.01028847996193,694.3943883195708,36.39919054810005,1581.0426745837249,-5.169678865825828,170.26167502584337,1.8354430379746836,-1453.4810126582279,1248.23417721519,2.0443037974683542,0.014793373926778845,0.006507175409102014
fold4,18043.616316724103,45.76100628930818,46.9685534591195,9.735849056603774,36.60834549728915,37.574843678334645,7.788679447594077,697.1509395575373,223.472645453687,705.9313648151901,32.35563350023713,1572.7065692637702,-1.0188439544641748,175.7417715060636,4.264150943396227,-1548.3459119496856,1424.446540880503,2.050314465408805,0.015468132426387868,0.0039418749656761065
