run,lr,crop_ratios,rim/acc_mean,rim/acc_std,rim/acc_max,fold0-rim/acc_final,fold0-rim/acc_max,fold1-rim/acc_final,fold1-rim/acc_max,fold2-rim/acc_final,fold2-rim/acc_max,fold3-rim/acc_final,fold3-rim/acc_max,fold4-rim/acc_final,fold4-rim/acc_max,lesion/acc_mean,lesion/acc_std,lesion/acc_max,fold0-lesion/acc_final,fold0-lesion/acc_max,fold1-lesion/acc_final,fold1-lesion/acc_max,fold2-lesion/acc_final,fold2-lesion/acc_max,fold3-lesion/acc_final,fold3-lesion/acc_max,fold4-lesion/acc_final,fold4-lesion/acc_max,train/loss_mean,train/loss_std,train/loss_min,val/acc_mean,val/acc_std,val/acc_max
1,0.0001,null,0.3081731048875945,0.12469607221186223,0.5701809525489807,0.33591723442077637,0.46546339988708496,0.464623361825943,0.5701809525489807,0.20348303020000458,0.4268324673175812,0.4042761027812958,0.4395034611225128,0.23267537355422974,0.35588133335113525,0.647884764178211,0.04354679223473547,0.712027370929718,0.6592252254486084,0.6703287959098816,0.705079972743988,0.712027370929718,0.6609078049659729,0.678801953792572,0.6772039532661438,0.6839214563369751,0.6555594205856323,0.6673228144645691,0.6134997644424438,0.06061980743358186,0.5620694756507874,0.4780289348828266,0.07894969059505097,0.6316018104553223
2,0.0002,null,0.3154852678545799,0.14150507203414328,0.596327543258667,0.3496825098991394,0.5139002203941345,0.5348667502403259,0.596327543258667,0.12124183773994446,0.362035870552063,0.3916819989681244,0.4356519281864166,0.24036692082881927,0.3330000936985016,0.6488038730669213,0.04260678927627172,0.7129103541374207,0.6594210267066956,0.6675834655761719,0.7104926705360413,0.7129103541374207,0.673591136932373,0.6816511750221252,0.6788865327835083,0.6876455545425415,0.6560580134391785,0.6667527556419373,0.6150308992385864,0.058647211043596534,0.5604342222213745,0.4821445709490872,0.08582025706676066,0.6477530002593994
3,0.0005,null,0.28157643915675806,0.13020936454143187,0.5522206425666809,0.2937126159667969,0.48136159777641296,0.4941624402999878,0.5522206425666809,0.1627962440252304,0.37335139513015747,0.40631166100502014,0.4538811147212982,0.20746305584907532,0.2897951304912567,0.6422050573979037,0.045306421827413845,0.6989114284515381,0.6647900938987732,0.6715770363807678,0.6951605081558228,0.6989114284515381,0.672659158706665,0.676040530204773,0.6890276074409485,0.6912840604782104,0.6523736119270325,0.6597919464111328,0.6234529104709625,0.06044762066973027,0.5622511506080627,0.4618907484783226,0.08183065903974819,0.6198697090148926
4,0.0001,"1,1,4",0.32360997441445427,0.13130943837315673,0.5768955945968628,0.30968359112739563,0.5052177906036377,0.4904221296310425,0.5768955945968628,0.14554300904273987,0.41649582982063293,0.42379361391067505,0.46463543176651,0.23014359176158905,0.35885539650917053,0.648027866600029,0.04171185525463603,0.7005026340484619,0.6506933569908142,0.6607381105422974,0.6954213380813599,0.7005026340484619,0.6654280424118042,0.6755848526954651,0.678991973400116,0.6885572671890259,0.6666305661201477,0.6728121638298035,0.6125274810791016,0.06017109966450556,0.5614739060401917,0.48581892023364226,0.07950061799938463,0.6252825260162354
5,0.0002,"1,1,4",0.32276376137251866,0.13500818757305208,0.5773371458053589,0.32583922147750854,0.4974183738231659,0.536957859992981,0.5773371458053589,0.15591132640838623,0.4410534203052521,0.42115387320518494,0.4521258473396301,0.23233316838741302,0.3217681050300598,0.6461171248351714,0.04221772181773948,0.7076613903045654,0.650697648525238,0.6666380763053894,0.7001304030418396,0.7076613903045654,0.660449206829071,0.6728626489639282,0.6859791278839111,0.6913629770278931,0.6618291735649109,0.6725729703903198,0.6144738741397857,0.05904243985228504,0.5602214336395264,0.4844404425846046,0.08251565917574573,0.6377841234207153
6,0.0005,"1,1,4",0.2996433850366577,0.13909981471422642,0.5723681449890137,0.38283634185791016,0.46386292576789856,0.5299716591835022,0.5723681449890137,0.14529310166835785,0.3658885955810547,0.4008295238018036,0.4312875270843506,0.21186089515686035,0.3005028963088989,0.6419555681058202,0.04440265534019612,0.7094228267669678,0.6641712188720703,0.6660186052322388,0.6999609470367432,0.7094228267669678,0.6590582132339478,0.6655606627464294,0.6821724772453308,0.6893996000289917,0.6592362523078918,0.6649362444877625,0.6224576890468597,0.06059070418901475,0.5626359581947327,0.4707994763511252,0.08611267930009477,0.6328283548355103
7,0.0001,"1,1,8",0.32615637882517035,0.12230487992773559,0.5845409631729126,0.33750951290130615,0.476146399974823,0.506606936454773,0.5845409631729126,0.2319929152727127,0.39782366156578064,0.3920181095600128,0.4256935715675354,0.24906687438488007,0.33162733912467957,0.648693488951189,0.04369745195045025,0.7093682885169983,0.6582177877426147,0.6722590327262878,0.7066322565078735,0.7093682885169983,0.6596030592918396,0.6665685772895813,0.6850212812423706,0.6890915632247925,0.6606417894363403,0.6731017827987671,0.6120583905696869,0.060109400856985094,0.5606734752655029,0.4874249344729037,0.0783833208563405,0.6407638788223267
8,0.0002,"1,1,8",0.32328365070380205,0.13634952623119054,0.5885533094406128,0.32811200618743896,0.4751487076282501,0.529808759689331,0.5885533094406128,0.18331477046012878,0.37461867928504944,0.4106561541557312,0.44845256209373474,0.21524445712566376,0.3485797643661499,0.6465537051359812,0.04154251766083562,0.7063849568367004,0.652775764465332,0.6630693674087524,0.7042290568351746,0.7063849568367004,0.665040910243988,0.6787059903144836,0.6852121949195862,0.690570592880249,0.6543166637420654,0.6661840081214905,0.6137916751384735,0.05896290420706014,0.5600731372833252,0.4849186776632286,0.08276494205949804,0.6405882835388184
9,0.0005,"1,1,8",0.2975215498482141,0.14153962968473122,0.573966383934021,0.3012111783027649,0.4738598167896271,0.5303897857666016,0.573966383934021,0.1306273192167282,0.3544048070907593,0.41287246346473694,0.4601741135120392,0.1885216236114502,0.3256705403327942,0.6435482734657195,0.0448762665321166,0.7075528502464294,0.6585926413536072,0.6662614345550537,0.6997994184494019,0.7075528502464294,0.671489417552948,0.6788877844810486,0.6896823644638062,0.6997584700584412,0.6602417826652527,0.6664038300514221,0.6216592194080353,0.06036652481541939,0.5603066086769104,0.47053491202702963,0.08585000600385999,0.6325492858886719
